Year	Month	Tmax	Tmin	PAR	Prec	CO2	O3
1600-1978	1	20.20864	-9.46213	188.4	112.7386962	390	0
1600-1978	2	23.0643	-10.0089	247.6	126.832566	390	0
1600-1978	3	28.02297	-3.10413	354.9	100.6145719	390	0
1600-1978	4	28.40646	-0.08222	461.6	93.97069378	390	0
1600-1978	5	30.76495	6.03942	496.1	131.9388181	390	0
1600-1978	6	32.5959	10.53658	531.8	104.523162	390	0
1600-1978	7	35.15765	13.41497	531.2	107.124049	390	0
1600-1978	8	36.5914	11.42437	445.4	62.29311106	390	0
1600-1978	9	31.2039	10.0342	378.1	256.3209085	390	0
1600-1978	10	30.12164	-1.99778	309.5	32.61995658	390	0
1600-1978	11	26.49914	-4.81318	215.5	148.9260063	390	0
1600-1978	12	22.9569	-7.26487	173.8	34.86021918	390	0
1979	1	20.20864	-9.46213	188.4	112.7386962	390	0
1979	2	23.0643	-10.0089	247.6	126.832566	390	0
1979	3	28.02297	-3.10413	354.9	100.6145719	390	0
1979	4	28.40646	-0.08222	461.6	93.97069378	390	0
1979	5	30.76495	6.03942	496.1	131.9388181	390	0
1979	6	32.5959	10.53658	531.8	104.523162	390	0
1979	7	35.15765	13.41497	531.2	107.124049	390	0
1979	8	36.5914	11.42437	445.4	62.29311106	390	0
1979	9	31.2039	10.0342	378.1	256.3209085	390	0
1979	10	30.12164	-1.99778	309.5	32.61995658	390	0
1979	11	26.49914	-4.81318	215.5	148.9260063	390	0
1979	12	22.9569	-7.26487	173.8	34.86021918	390	0
1980	1	19.66403	-7.33747	188.4	109.4450106	390	0
1980	2	26.01025	-11.17118	247.6	48.08061454	390	0
1980	3	23.73324	-14.2991	354.9	175.6024885	390	0
1980	4	31.94738	0.00552	461.6	72.78089228	390	0
1980	5	32.95065	5.20056	496.1	71.72379858	390	0
1980	6	36.02358	11.08767	531.8	103.2079186	390	0
1980	7	36.39263	15.90414	531.2	87.04202337	390	0
1980	8	37.4513	16.4851	445.4	58.82621007	390	0
1980	9	35.11434	9.41116	378.1	135.2298609	390	0
1980	10	28.76846	-0.63386	309.5	95.96757595	390	0
1980	11	24.69818	-5.01252	215.5	59.74165635	390	0
1980	12	22.59042	-10.93082	173.8	54.7027479	390	0
1981	1	20.58172	-13.8982	188.4	25.77969725	390	0
1981	2	23.42367	-8.54185	247.6	77.98001388	390	0
1981	3	28.02996	-5.23295	354.9	46.23666241	390	0
1981	4	33.86642	1.66665	461.6	12.94396279	390	0
1981	5	33.7138	5.56466	496.1	106.3042992	390	0
1981	6	38.0254	12.60815	531.8	87.5833512	390	0
1981	7	35.91958	14.6916	531.2	153.79483	390	0
1981	8	35.06536	13.25668	445.4	170.0130809	390	0
1981	9	32.076	4.994	378.1	58.37890291	390	0
1981	10	31.4156	-0.12687	309.5	72.15826387	390	0
1981	11	25.42452	-5.44343	215.5	23.0395322	390	0
1981	12	21.03408	-8.6111	173.8	122.1472133	390	0
1982	1	22.15417	-15.30186	188.4	145.7375786	390	0
1982	2	24.18527	-3.82218	247.6	136.7768334	390	0
1982	3	28.59905	-4.00104	354.9	60.38557222	390	0
1982	4	28.62307	-4.5253	461.6	100.111015	390	0
1982	5	33.84008	8.02682	496.1	87.16768804	390	0
1982	6	32.48202	14.75958	531.8	168.8285857	390	0
1982	7	34.50088	14.5441	531.2	146.38158	390	0
1982	8	33.9379	14.5988	445.4	76.43715793	390	0
1982	9	31.5	8.24383	378.1	58.51625289	390	0
1982	10	29.14047	-0.6975	309.5	98.67670731	390	0
1982	11	26.95776	-3.71857	215.5	47.61593008	390	0
1982	12	24.9371	-6.5392	173.8	113.4904038	390	0
1983	1	17.8554	-10.43787	188.4	65.76304035	390	0
1983	2	21.85073	-4.87742	247.6	160.1375958	390	0
1983	3	24.7487	-3.58344	354.9	189.0539883	390	0
1983	4	27.9926	-3.2102	461.6	107.6322514	390	0
1983	5	30.68096	5.4888	496.1	59.11910417	390	0
1983	6	34.18224	10.438	531.8	94.62473948	390	0
1983	7	38.0369	15.37606	531.2	69.21754276	390	0
1983	8	39.08172	13.02554	445.4	70.53262602	390	0
1983	9	36.02978	4.31127	378.1	95.515074	390	0
1983	10	29.73663	1.9885	309.5	72.01771011	390	0
1983	11	24.72402	-2.48334	215.5	91.72604014	390	0
1983	12	19.61077	-16.48694	173.8	182.0361539	390	0
1984	1	18.0032	-11.1272	188.4	93.9057887	390	0
1984	2	23.70516	-7.38532	247.6	138.8611685	390	0
1984	3	26.89825	-5.26807	354.9	147.980781	390	0
1984	4	30.59002	2.89605	461.6	112.0053098	390	0
1984	5	31.6208	3.54522	496.1	153.6249783	390	0
1984	6	35.68142	7.76296	531.8	90.74342939	390	0
1984	7	36.12698	15.35046	531.2	261.8782908	390	0
1984	8	34.1603	14.62527	445.4	86.22150107	390	0
1984	9	33.20373	7.7414	378.1	95.92822812	390	0
1984	10	30.68017	7.83392	309.5	47.2480481	390	0
1984	11	26.8024	-5.5537	215.5	25.39296659	390	0
1984	12	24.16952	-7.6473	173.8	47.67273171	390	0
1985	1	24.39312	-19.77144	188.4	105.3530313	390	0
1985	2	24.97634	-9.08738	247.6	121.0358688	390	0
1985	3	31.3976	-2.95975	354.9	35.65533608	390	0
1985	4	32.80584	-1.3237	461.6	31.24342216	390	0
1985	5	33.31503	5.77105	496.1	75.23782217	390	0
1985	6	34.9799	10.39822	531.8	126.7989311	390	0
1985	7	35.5328	14.10647	531.2	237.9677489	390	0
1985	8	33.53323	12.94335	445.4	147.5402933	390	0
1985	9	34.1471	3.336	378.1	9.594128215	390	0
1985	10	30.1523	6.36816	309.5	105.772338	390	0
1985	11	26.84112	1.65142	215.5	171.9566281	390	0
1985	12	21.42257	-9.66636	173.8	29.72511106	390	0
1986	1	21.01736	-12.44886	188.4	35.93555853	390	0
1986	2	22.85443	-7.3603	247.6	44.6827643	390	0
1986	3	29.79702	-6.7326	354.9	67.46015142	390	0
1986	4	32.99496	-0.66053	461.6	17.77356264	390	0
1986	5	33.47112	2.71935	496.1	71.02292496	390	0
1986	6	36.63845	15.24417	531.8	71.29023869	390	0
1986	7	40.08004	16.4677	531.2	110.603514	390	0
1986	8	35.8502	10.94128	445.4	226.7497576	390	0
1986	9	34.27844	12.10125	378.1	30.5664385	390	0
1986	10	35.08816	1.7429	309.5	66.77376756	390	0
1986	11	27.46578	-5.6421	215.5	103.5762467	390	0
1986	12	21.35558	-6.33497	173.8	88.38016001	390	0
1987	1	18.5063	-6.56727	188.4	185.0048657	390	0
1987	2	20.40164	-7.29777	247.6	115.756648	390	0
1987	3	25.98043	-3.52927	354.9	105.6946535	390	0
1987	4	29.7411	-0.17316	461.6	98.69257736	390	0
