#ppt,,,,,,,,,,,,,,,,,,,,,,,,
,LOSA,SALO,SAND,LOAM,G_SALO,F_SALO,SNCL,CLLO,LOSA,SALO,SAND,LOAM,G_SALO,F_SALO,SNCL,CLLO,LOSA,SALO,SAND,LOAM,G_SALO,F_SALO,SNCL,CLLO
TIMESTEP,MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),VARIANCE(mm/d^2),VARIANCE(mm/d^2),VARIANCE(mm/d^2),VARIANCE(mm/d^2),VARIANCE(mm/d^2),VARIANCE(mm/d^2),VARIANCE(mm/d^2),VARIANCE(mm/d^2),STD_DEV(mm/d),STD_DEV(mm/d),STD_DEV(mm/d),STD_DEV(mm/d),STD_DEV(mm/d),STD_DEV(mm/d),STD_DEV(mm/d),STD_DEV(mm/d)
2015-01-01T00:00:00Z,1.5026486,1.5026486,1.5026486,1.5026486,1.5026486,1.5026486,1.5026486,1.5026486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-02T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-03T00:00:00Z,4.4694123,4.4694123,4.4694123,4.4694123,4.4694123,4.4694123,4.4694123,4.4694123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-04T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-05T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-06T00:00:00Z,1.4850129,1.4850129,1.4850129,1.4850129,1.4850129,1.4850129,1.4850129,1.4850129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-07T00:00:00Z,1.53735,1.53735,1.53735,1.53735,1.53735,1.53735,1.53735,1.53735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-08T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-09T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-10T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-11T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-12T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-13T00:00:00Z,0.4622536,0.4622536,0.4622536,0.4622536,0.4622536,0.4622536,0.4622536,0.4622536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-14T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-15T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-16T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-17T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-18T00:00:00Z,3.8987584,3.8987584,3.8987584,3.8987584,3.8987584,3.8987584,3.8987584,3.8987584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-19T00:00:00Z,22.189222,22.189222,22.189222,22.189222,22.189222,22.189222,22.189222,22.189222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-20T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-21T00:00:00Z,3.73E-04,3.73E-04,3.73E-04,3.73E-04,3.73E-04,3.73E-04,3.73E-04,3.73E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-22T00:00:00Z,5.382546,5.382546,5.382546,5.382546,5.382546,5.382546,5.382546,5.382546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-23T00:00:00Z,0.6223787,0.6223787,0.6223787,0.6223787,0.6223787,0.6223787,0.6223787,0.6223787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-24T00:00:00Z,0.41044408,0.41044408,0.41044408,0.41044408,0.41044408,0.41044408,0.41044408,0.41044408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-25T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-26T00:00:00Z,20.425482,20.425482,20.425482,20.425482,20.425482,20.425482,20.425482,20.425482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-27T00:00:00Z,2.306119,2.306119,2.306119,2.306119,2.306119,2.306119,2.306119,2.306119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-28T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-29T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-30T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-31T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-01T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-02T00:00:00Z,1.7457606,1.7457606,1.7457606,1.7457606,1.7457606,1.7457606,1.7457606,1.7457606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-03T00:00:00Z,7.748789,7.748789,7.748789,7.748789,7.748789,7.748789,7.748789,7.748789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-04T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-05T00:00:00Z,0.006303111,0.006303111,0.006303111,0.006303111,0.006303111,0.006303111,0.006303111,0.006303111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-06T00:00:00Z,9.736322,9.736322,9.736322,9.736322,9.736322,9.736322,9.736322,9.736322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-07T00:00:00Z,10.746949,10.746949,10.746949,10.746949,10.746949,10.746949,10.746949,10.746949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-08T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-09T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-10T00:00:00Z,0.006641595,0.006641595,0.006641595,0.006641595,0.006641595,0.006641595,0.006641595,0.006641595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-11T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-12T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-13T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-14T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-15T00:00:00Z,0.7345704,0.7345704,0.7345704,0.7345704,0.7345704,0.7345704,0.7345704,0.7345704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-16T00:00:00Z,7.117442,7.117442,7.117442,7.117442,7.117442,7.117442,7.117442,7.117442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-17T00:00:00Z,4.7249656,4.7249656,4.7249656,4.7249656,4.7249656,4.7249656,4.7249656,4.7249656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-18T00:00:00Z,34.857464,34.857464,34.857464,34.857464,34.857464,34.857464,34.857464,34.857464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
