Time,Age(yr),TopLayer(-),LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),water(mm),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,
2008,1,0,0,0,0,0.02809303,0,0,0,0,25,51,6.836413,0.08984073,1,188.5732,3,0.4471578,1,0,0.2977868,0.1824222,1,False,0.9969516,1.9,0,1,300,fTemp,
2008.08,1,0,0,0,0,0.03734834,0,0,0,0,25,51,6.799063,0.08934989,1,188.5732,3,0.5079429,1,0,0.5841516,0.2446585,1,False,0.9969516,1.9,0,1,300,fRad,
2008.17,1,0,0.03043793,2.432684,0.3042268,0.04771448,2.128457,0.4231137,0.1508803,7.609482,25,51,5.45554,0.06519441,1,188.1421,3,0.5862218,1,1.032944,0.7295988,0.3125642,1,True,0.9969516,1.9,0.1,1,300,fRad,
2008.25,1,0,0.03043793,3.149643,0.3872332,0.0640367,2.76241,0.6278358,0.1319674,7.609482,25,51,8.153914,0.09744034,1,188.5187,3,0.6159118,1,1.032944,0.8607625,0.4194864,1,True,0.9969516,1.9,0.1,1,300,fRad,
2008.33,1,0,0.03043793,3.989929,0.5160467,0.08758432,3.473882,1.08424,0.09609801,7.609482,25,51,11.54021,0.137907,1,187.3538,3,0.6539317,1,1.032944,0.9641277,0.5737403,1,True,0.9969516,1.9,0.1,1,300,fRad,
2008.42,1,0,0.03043793,4.049264,0.6789693,0.1409078,3.370295,1.492357,0.06773607,7.609482,25,51,14.7696,0.1764986,1,186.2334,3.1,0.6766621,1,1.032944,0.986384,0.9230476,1,True,0.9969516,1.9,0.1,1,300,fRad,
2008.5,1,0,0.03043793,4.260698,0.6833093,0.1327042,3.577389,1.374288,0.07807519,7.609482,25,51,18.21428,0.217663,1,187.273,3.1,0.6657322,1,1.032944,0.996928,0.8693081,1,True,0.9969516,1.9,0.1,1,300,fRad,
2008.58,1,0,0.03043793,4.015818,0.6640042,0.1236111,3.351813,1.169846,0.08593612,7.609482,25,51,21.44248,0.2562404,1,188.5499,3,0.6411573,1,1.032944,0.9999995,0.8097419,1,True,0.9969516,1.9,0.1,1,300,fRad,
2008.67,1,0,0.03043793,3.289299,0.5577741,0.09718242,2.731525,0.7176259,0.1141647,7.609482,25,51,24.07683,0.2877212,1,188.3628,3,0.5695709,1,1.032944,0.9791237,0.6366147,1,True,0.9969516,1.9,0.1,1,300,fRad,
2008.75,1,0,0.03043793,2.521924,0.3706468,0.05652161,2.151278,0.5138958,0.1255585,7.609482,25,51,26.17159,0.3127539,1,188.3072,3,0.5547062,1,1.032944,0.8341633,0.3702572,1,True,0.9969516,1.9,0.1,1,300,fRad,
2008.83,1,0,0.02029297,0,0,0.03729836,0,0,0,5.073241,25,51,26.13428,0.3220388,1,188.0579,3,0.4633463,1,0,0.5803373,0.2443311,1,False,0.9969516,1.9,0.1,1,300,fRad,
2008.92,1,0,0.02029297,0,0,0.03577003,0,0,0,5.073241,25,51,26.09852,0.3215981,1,188.5732,3,0.4009103,1,0,0.5394515,0.2343194,1,False,0.9969516,1.9,0.1,1,300,fRad,
2009,2,0,0.02029297,0,0,0.02733795,0,0,0,5.073241,31,63,6.776255,0.06809653,1,188.5732,3,0.4267011,1,0,0.2615261,0.1790833,1,False,0.9962146,1.9,0.1,1,300,fTemp,
2009.08,2,0,0.02029297,0,0,0.04106097,0,0,0,5.073241,31,63,6.735194,0.0676839,1,188.5732,3,0.5194428,1,0,0.4771867,0.2165334,1,False,0.9962146,1.9,0.1,1,300,fTemp,
2009.17,2,0,0.03778221,2.570156,0.3368121,0.05356338,2.233344,0.3648112,0.1836167,9.445552,31,63,6.947435,0.06688889,1,188.5331,3,0.5570159,1,1.032944,0.6426559,0.2824643,1,True,0.9962146,1.9,0.1,1,300,fRad,
2009.25,2,0,0.03778221,4.085314,0.5043058,0.08380531,3.581008,0.9529424,0.1127102,9.445552,31,63,10.44464,0.1005594,1,187.9232,3,0.6332822,1,1.032944,0.893963,0.4419438,1,True,0.9962146,1.9,0.1,1,300,fRad,
2009.33,2,0,0.03778221,4.957619,0.6845636,0.1175712,4.273055,1.20022,0.1067831,9.445552,31,63,14.60012,0.1405678,1,187.6652,3,0.6298102,1,1.032944,0.9733291,0.6200069,1,True,0.9962146,1.9,0.1,1,300,fRad,
2009.42,2,0,0.03778221,5.158437,0.8064096,0.160404,4.352027,1.633013,0.07993312,9.445552,31,63,18.79174,0.1809241,1,185.8093,3,0.659653,1,1.032944,0.9991524,0.845884,1,True,0.9962146,1.9,0.1,1,300,fRad,
2009.5,2,0,0.03778221,5.25584,0.8414139,0.1623835,4.414426,1.6424,0.08061577,9.445552,31,63,23.04378,0.2218621,1,183.7829,3.3,0.653954,1,1.032944,0.9984604,0.8563229,1,True,0.9962146,1.9,0.1,1,300,fRad,
2009.58,2,0,0.03778221,4.80945,0.8522865,0.1630877,3.957163,1.333772,0.08898711,9.445552,31,63,26.83786,0.258391,1,185.6757,3,0.6024777,1,1.032944,0.9986433,0.860036,1,True,0.9962146,1.9,0.1,1,300,fRad,
2009.67,2,0,0.03778221,3.947994,0.6828463,0.118272,3.265147,1.003513,0.09758981,9.445552,31,63,29.98474,0.2886886,1,187.5767,3,0.5583357,1,1.032944,0.9813149,0.6237025,1,True,0.9962146,1.9,0.1,1,300,fRad,
2009.75,2,0,0.03778221,3.029091,0.5001829,0.07685287,2.528909,0.5592177,0.1356366,9.445552,31,63,32.43679,0.3122967,1,188.5192,3,0.5054429,1,1.032944,0.8557881,0.4052804,1,True,0.9962146,1.9,0.1,1,300,fRad,
2009.83,2,0,0.03778221,1.946831,0.3530542,0.05538529,1.593777,0.2780464,0.1719234,9.445552,31,63,33.97518,0.327108,1,188.5426,3,0.4449854,1,1.032944,0.6836519,0.2920721,1,True,0.9962146,1.9,0.1,1,300,fRad,
2009.92,2,0,0.0251894,0,0,0.03464444,0,0,0,6.297349,31,63,33.94054,0.336949,1,188.5732,3,0.3987979,1,0,0.2849432,0.182696,1,False,0.9962146,1.9,0.1,1,300,fTemp,
2010,3,0,0.0251894,0,0,0.03065294,0,0,0,6.297349,39,79,8.411674,0.06728698,1,188.5732,3,0.4401427,1,0,0.1929108,0.161647,1,False,0.9952388,1.9,0.1,1,300,fTemp,
2010.08,3,0,0.0251894,0,0,0.04168992,0,0,0,6.297349,39,79,8.36998,0.06695345,1,188.5732,3,0.4910915,1,0,0.2254439,0.1747088,1,False,0.9952388,1.9,0.1,1,300,fTemp,
2010.17,3,0,0.04749782,3.573941,0.448443,0.07079263,3.125498,0.6026345,0.1555571,11.87446,39,79,8.914988,0.0682814,1,188.5418,3,0.5764144,1,1.032944,0.6987867,0.2966686,1,True,0.9952388,1.9,0.1,1,300,fRad,
2010.25,3,0,0.04749782,5.367143,0.6908737,0.1163463,4.67627,1.498125,0.09362165,11.87446,39,79,13.47491,0.1032066,1,187.1526,3,0.6483659,1,1.032944,0.9366359,0.4875692,1,True,0.9952388,1.9,0.1,1,300,fRad,
2010.33,3,0,0.04749782,6.405838,0.9343786,0.1659754,5.471459,1.741937,0.09420968,11.87446,39,79,18.78039,0.1438422,1,186.8573,3.1,0.6429638,1,1.032944,0.9916881,0.6955483,1,True,0.9952388,1.9,0.1,1,300,fRad,
2010.42,3,0,0.04749782,6.264164,1.090654,0.2327654,5.17351,2.176486,0.07129418,11.87446,39,79,23.72113,0.1816841,1,188.2636,3,0.656523,1,1.032944,0.9780825,0.9754432,1,True,0.9952388,1.9,0.1,1,300,fRad,
2010.5,3,0,0.04749782,6.410373,1.133927,0.234942,5.276446,2.250839,0.07031075,11.87446,39,79,28.76263,0.2202978,1,188.0683,3,0.6612748,1,1.032944,0.9745319,0.9845649,1,True,0.9952388,1.9,0.1,1,300,fRad,
2010.58,3,0,0.04749782,5.911237,1.119114,0.2240819,4.792123,1.960392,0.07331785,11.87446,39,79,33.33068,0.2552853,1,185.9863,3,0.6177509,1,1.032944,0.9833651,0.9390537,1,True,0.9952388,1.9,0.1,1,300,fRad,
2010.67,3,0,0.04749782,5.19776,0.9794517,0.1813701,4.218308,1.802513,0.07019152,11.87446,39,79,37.3676,0.2862047,1,188.3603,3,0.6093769,1,1.032944,0.9999677,0.7600624,1,True,0.9952388,1.9,0.1,1,300,fRad,
2010.75,3,0,0.04749782,4.287984,0.6831762,0.1050271,3.604808,1.08664,0.09949955,11.87446,39,79,40.86739,0.3130102,1,186.3845,3,0.5578451,1,1.032944,0.9153543,0.4401342,1,True,0.9952388,1.9,0.1,1,300,fRad,
2010.83,3,0,0.0316668,0,0,0.06627841,0,0,0,7.916699,39,79,40.80113,0.3222238,1,188.371,3,0.454307,1,0,0.6931727,0.277751,1,False,0.9952388,1.9,0.1,1,300,fRad,
2010.92,3,0,0.0316668,0,0,0.03442437,0,0,0,7.916699,39,79,40.76672,0.3219521,1,188.5732,3,0.3966255,1,0,0.04016512,0.1442612,1,False,0.9952388,1.9,0.1,1,300,fTemp,
2011,4,0,0.0316668,0,0,0.03673551,0,0,0,7.916699,48,99,10.57504,0.06813576,1,188.5732,3,0.430837,1,0,0.1447242,0.1539464,1,False,0.9940891,1.9,0.1,1,300,fTemp,
2011.08,4,0,0.0316668,0,0,0.07012415,0,0,0,7.916699,48,99,10.50492,0.06768395,1,188.5732,3,0.5099138,1,0,0.5709183,0.2365677,1,False,0.9940891,1.9,0.1,1,300,fRad,
2011.17,4,0,0.05893421,4.413492,0.567173,0.0894531,3.846319,0.7917881,0.1457005,14.73355,48,99,11.1942,0.06910767,1,188.5147,3,0.5591041,1,1.032944,0.7180334,0.301775,1,True,0.9940891,1.9,0.1,1,300,fRad,
