Time,Age(yr),TopLayer(-),LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),water(mm),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,
2008,1,0,0,0,0,0.03458657,0,0,0,0,25,51,6.836413,0.08984835,1,188.5732,3,0.4471578,1,0,0.3950301,0.2245881,1,False,0.9969518,1.7,0,1,300,fTemp,
2008.08,1,0,0,0,0,0.04597729,0,0,0,0,25,51,6.790437,0.0892441,1,188.5732,3,0.5079429,1,0,0.6783711,0.30121,1,False,0.9969518,1.7,0,1,300,fRad,
2008.17,1,0,0.03170348,2.513802,0.3434154,0.05873843,2.170386,0.4631959,0.1405391,7.608836,25,51,5.47811,0.06546968,1,188.564,3,0.5861527,1,1.032944,0.8143162,0.3848117,1,True,0.9969518,1.7,0.1,1,300,fRad,
2008.25,1,0,0.03170348,3.153673,0.4364841,0.07883172,2.717188,0.6659838,0.1223717,7.608836,25,51,8.116467,0.09700108,1,187.6113,3,0.6158444,1,1.032944,0.9267193,0.5164484,1,True,0.9969518,1.7,0.1,1,300,fRad,
2008.33,1,0,0.03170348,3.856703,0.5810102,0.1078198,3.275692,1.110296,0.08848896,7.608836,25,51,11.28434,0.1348607,1,186.0238,3.2,0.6538672,1,1.032944,0.9950643,0.7063572,1,True,0.9969518,1.7,0.1,1,300,fRad,
2008.42,1,0,0.03170348,3.691769,0.7638706,0.152642,2.927898,1.441429,0.06092386,7.608836,25,51,14.05959,0.1680282,1,184.3777,3.2,0.6765997,1,1.032944,0.9379071,1,1,True,0.9969518,1.7,0.1,1,300,fRad,
2008.5,1,0,0.03170348,3.919877,0.7687556,0.152642,3.151121,1.339466,0.07055991,7.608836,25,51,17.05807,0.2038634,1,184.3464,3.3,0.6656687,1,1.032944,0.9611468,1,1,True,0.9969518,1.7,0.1,1,300,fRad,
2008.58,1,0,0.03170348,3.739904,0.7470547,0.1521702,2.992849,1.154191,0.07777357,7.608836,25,51,19.89875,0.2378128,1,180.4053,3.8,0.6410918,1,1.032944,0.9773157,0.9969092,1,True,0.9969518,1.7,0.1,1,300,fRad,
2008.67,1,0,0.03170348,3.175348,0.6277417,0.1196354,2.547607,0.7339194,0.1041139,7.608836,25,51,22.32673,0.26683,1,182.0126,3.4,0.569501,1,1.032944,0.9995481,0.7837647,1,True,0.9969518,1.7,0.1,1,300,fRad,
2008.75,1,0,0.03170348,2.550757,0.4179502,0.06958035,2.132807,0.5506485,0.1161721,7.608836,25,51,24.38996,0.2914879,1,187.9561,3,0.5546358,1,1.032944,0.9052051,0.4558401,1,True,0.9969518,1.7,0.1,1,300,fRad,
2008.83,1,0,0.02124134,0,0,0.04591576,0,0,0,5.09792,25,51,24.34405,0.2999116,1,188.0519,3,0.4632933,1,0,0.6747097,0.3008069,1,False,0.9969518,1.7,0.1,1,300,fRad,
2008.92,1,0,0.02124134,0,0,0.04403432,0,0,0,5.09792,25,51,24.3,0.299369,1,188.5732,3,0.4008591,1,0,0.6352227,0.288481,1,False,0.9969518,1.7,0.1,1,300,fRad,
2009,2,0,0.02124134,0,0,0.0336541,0,0,0,5.09792,30,62,6.775675,0.06932535,1,188.5732,3,0.4266489,1,0,0.3582329,0.2204774,1,False,0.9962867,1.7,0.1,1,300,fTemp,
2009.08,2,0,0.02124134,0,0,0.04958656,0,0,0,5.09792,30,62,6.726089,0.068818,1,188.5732,3,0.5193895,1,0,0.5743387,0.2665838,1,False,0.9962867,1.7,0.1,1,300,fRad,
2009.17,2,0,0.03860764,2.65967,0.3732336,0.06468486,2.286437,0.3999435,0.1714688,9.265834,30,62,7.072281,0.06941111,1,188.558,3,0.5569959,1,1.032944,0.7339886,0.3477543,1,True,0.9962867,1.7,0.1,1,300,fRad,
2009.25,2,0,0.03860764,3.976253,0.5575469,0.101206,3.418706,0.9826018,0.104354,9.265834,30,62,10.38978,0.1019708,1,187.9938,3,0.633264,1,1.032944,0.9520948,0.5440966,1,True,0.9962867,1.7,0.1,1,300,fRad,
2009.33,2,0,0.03860764,4.684348,0.7559524,0.1419828,3.928396,1.201432,0.09807103,9.265834,30,62,14.1762,0.1391327,1,187.6974,3,0.6297919,1,1.032944,0.9982532,0.7633181,1,True,0.9962867,1.7,0.1,1,300,fRad,
2009.42,2,0,0.03860764,4.675269,0.8900741,0.1860074,3.785195,1.567979,0.07240567,9.265834,30,62,17.77538,0.174457,1,187.5598,3,0.6596357,1,1.032944,0.9694634,1,1,True,0.9962867,1.7,0.1,1,300,fRad,
2009.5,2,0,0.03860764,4.758615,0.9287027,0.1860074,3.829913,1.57536,0.07291786,9.265834,30,62,21.41929,0.2102203,1,186.1502,3.2,0.6539365,1,1.032944,0.9663819,1,1,True,0.9962867,1.7,0.1,1,300,fRad,
2009.58,2,0,0.03860764,4.375895,0.9406968,0.1860074,3.435198,1.285628,0.08014218,9.265834,30,62,24.66849,0.2421096,1,184.3624,3.2,0.6024586,1,1.032944,0.967127,1,1,True,0.9962867,1.7,0.1,1,300,fRad,
2009.67,2,0,0.03860764,3.736039,0.7539781,0.1428291,2.98206,1.006051,0.08890394,9.265834,30,62,27.50772,0.2699754,1,188.4279,3,0.5583157,1,1.032944,0.9998373,0.7678679,1,True,0.9962867,1.7,0.1,1,300,fRad,
2009.75,2,0,0.03860764,2.997366,0.5530999,0.09281001,2.444266,0.5862334,0.1250555,9.265834,30,62,29.85918,0.2930538,1,188.5101,3,0.5054221,1,1.032944,0.9227651,0.4989587,1,True,0.9962867,1.7,0.1,1,300,fRad,
