Time,Age(yr),TopLayer(-),LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),water(mm),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,
2009,1,0,0,0,0,0.02757882,0,0,0,0,25,51,6.836413,0.08984012,1,188.5732,3,0.4266764,1,0,0.2615261,0.1790833,1,False,0.9969515,1.2,0,1,300,fTemp,
2009.08,1,0,0,0,0,0.03305512,0,0,0,0,25,51,6.803359,0.08940574,1,188.5732,3,0.5194175,1,0,0.4771867,0.2165334,1,False,0.9969515,1.2,0,1,300,fTemp,
2009.17,1,0,0.03043813,1.43291,0.1875909,0.04311988,1.245319,0.2530537,0.1476022,7.609533,25,51,4.581269,0.05474639,1,188.5464,3,0.5576587,1,1.032944,0.6426559,0.2824643,1,True,0.9969515,1.2,0.1,1,300,fRad,
2009.25,1,0,0.03043813,2.277262,0.2808782,0.06746539,1.996384,0.6609057,0.09060024,7.609533,25,51,6.510186,0.07779704,1,186.6935,3,0.6338871,1,1.032944,0.893963,0.4419438,1,True,0.9969515,1.2,0.1,1,300,fRad,
2009.33,1,0,0.03043813,2.763491,0.3812747,0.09464778,2.382216,0.8323979,0.08583707,7.609533,25,51,8.797753,0.1051336,1,184.6958,3.1,0.6304175,1,1.032944,0.9733291,0.6200069,1,True,0.9969515,1.2,0.1,1,300,fRad,
2009.42,1,0,0.03043813,2.875193,0.449138,0.1291293,2.426055,1.132462,0.06425422,7.609533,25,51,11.09468,0.132582,1,186.6781,3,0.6602377,1,1.032944,0.9991524,0.845884,1,True,0.9969515,1.2,0.1,1,300,fRad,
2009.5,1,0,0.03043813,2.92951,0.4686339,0.1307229,2.460876,1.138982,0.06480334,7.609533,25,51,13.42484,0.1604274,1,187.2986,3.1,0.6545435,1,1.032944,0.9984604,0.8563229,1,True,0.9969515,1.2,0.1,1,300,fRad,
2009.58,1,0,0.03043813,2.680954,0.4746896,0.1312897,2.206264,0.9250405,0.0715355,7.609533,25,51,15.49981,0.1852235,1,184.1647,3.2,0.6031014,1,1.032944,0.9986433,0.860036,1,True,0.9969515,1.2,0.1,1,300,fRad,
2009.67,1,0,0.03043813,2.200967,0.3803182,0.09521195,1.820649,0.6960579,0.0784523,7.609533,25,51,17.22524,0.2058425,1,186.396,3,0.5589781,1,1.032944,0.9813149,0.6237025,1,True,0.9969515,1.2,0.1,1,300,fRad,
2009.75,1,0,0.03043813,1.688898,0.278582,0.0618685,1.410316,0.3879334,0.1090395,7.609533,25,51,18.57369,0.2219565,1,187.6198,3,0.5060942,1,1.032944,0.8557881,0.4052804,1,True,0.9969515,1.2,0.1,1,300,fRad,
2009.83,1,0,0.03043813,1.085591,0.1966371,0.04458656,0.888954,0.1929037,0.1382177,7.609533,25,51,19.41805,0.2320466,1,188.5519,3,0.4456289,1,1.032944,0.6836519,0.2920721,1,True,0.9969515,1.2,0.1,1,300,fRad,
2009.92,1,0,0.0202931,0,0,0.02788965,0,0,0,5.073276,25,51,19.39016,0.238933,1,188.5609,3,0.3992145,1,0,0.2849432,0.182696,1,False,0.9969515,1.2,0.1,1,300,fTemp,
2010,2,0,0.0202931,0,0,0.02467639,0,0,0,5.073276,29,59,6.7763,0.07297751,1,188.5732,3,0.440704,1,0,0.1929108,0.161647,1,False,0.9964818,1.2,0.1,1,300,fTemp,
2010.08,2,0,0.0202931,0,0,0.0307869,0,0,0,5.073276,29,59,6.745516,0.07264598,1,188.5732,3,0.4916606,1,0,0.2254439,0.1747088,1,False,0.9964818,1.2,0.1,1,300,fTemp,
2010.17,2,0,0.03511969,1.830656,0.2292332,0.05227847,1.601422,0.3840595,0.1250639,8.779922,29,59,6.626667,0.06863581,1,188.5284,3,0.577765,1,1.032944,0.6987867,0.2966686,1,True,0.9964818,1.2,0.1,1,300,fRad,
2010.25,2,0,0.03511969,2.7482,0.353158,0.08591866,2.395042,0.9544175,0.07526612,8.779922,29,59,8.935793,0.09255262,1,185.2119,3,0.649626,1,1.032944,0.9366359,0.4875692,1,True,0.9964818,1.2,0.1,1,300,fRad,
2010.33,2,0,0.03511969,3.28003,0.4776319,0.1225684,2.802398,1.109735,0.07574171,8.779922,29,59,11.61563,0.120309,1,187.1778,3,0.6442327,1,1.032944,0.9916881,0.6955483,1,True,0.9964818,1.2,0.1,1,300,fRad,
2010.42,2,0,0.03511969,3.20711,0.5575162,0.171891,2.649594,1.386411,0.05732078,8.779922,29,59,14.09333,0.1459719,1,186.6903,3,0.6577693,1,1.032944,0.9780825,0.9754432,1,True,0.9964818,1.2,0.1,1,300,fRad,
2010.5,2,0,0.03511969,3.281878,0.5796361,0.1734985,2.702242,1.433735,0.05653016,8.779922,29,59,16.62207,0.1721634,1,186.8254,3.1,0.6625127,1,1.032944,0.9745319,0.9845649,1,True,0.9964818,1.2,0.1,1,300,fRad,
2010.58,2,0,0.03511969,3.026859,0.5720643,0.1654785,2.454795,1.248941,0.05895191,8.779922,29,59,18.91138,0.195875,1,182.7975,3.3,0.6190565,1,1.032944,0.9833651,0.9390537,1,True,0.9964818,1.2,0.1,1,300,fRad,
