Time,Age(yr),TopLayer(-),LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),water(mm),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,
2009,1,0,0,0,0,0.02757882,0,0,0,0,25,51,6.836413,0.08984012,1,188.5732,3,0.4278183,1,0,0.3194225,0.1790833,1,False,0.9969515,1.8,0,1,300,fTemp,
2009.08,1,0,0,0,0,0.03305512,0,0,0,0,25,51,6.803359,0.08940574,1,188.5732,3,0.5205824,1,0,0.5181753,0.2165334,1,False,0.9969515,1.8,0,1,300,fTemp,
2009.17,1,0,0.01523995,0.7823741,0.0984752,0.04311988,0.6838989,0.1142545,0.1795325,1.521906,25,51,6.75928,0.08709,1,188.5612,3,0.5590274,1,1.032944,0.6706717,0.2824643,1,True,0.9969515,1.8,0.02,1,300,fRad,
2009.25,1,0,0.01523995,1.207337,0.1474461,0.06746539,1.059891,0.2897477,0.1097149,1.521906,25,51,7.751703,0.09987688,1,187.933,3,0.6351757,1,1.032944,0.9022763,0.4419438,1,True,0.9969515,1.8,0.02,1,300,fRad,
2009.33,1,0,0.01523995,1.455943,0.2001488,0.09464778,1.255795,0.3626457,0.103863,1.521906,25,51,8.912848,0.1148377,1,187.48,3,0.6317112,1,1.032944,0.9754201,0.6200069,1,True,0.9969515,1.8,0.02,1,300,fRad,
2009.42,1,0,0.01523995,1.511586,0.2357735,0.1291293,1.275813,0.4923283,0.07772432,1.521906,25,51,10.05953,0.1296121,1,187.7744,3,0.6614837,1,1.032944,0.9990431,0.845884,1,True,0.9969515,1.8,0.02,1,300,fRad,
2009.5,1,0,0.01523995,1.540057,0.2460078,0.1307229,1.294049,0.4951355,0.07838835,1.521906,25,51,11.22286,0.144601,1,183.2473,3.4,0.6557992,1,1.032944,0.9982619,0.8563229,1,True,0.9969515,1.8,0.02,1,300,fRad,
2009.58,1,0,0.01523995,1.409706,0.2491867,0.1312897,1.160519,0.4022214,0.08653902,1.521906,25,51,12.25209,0.1578621,1,186.2128,3.2,0.6044303,1,1.032944,0.9984683,0.860036,1,True,0.9969515,1.8,0.02,1,300,fRad,
2009.67,1,0,0.01523995,1.159159,0.1996467,0.09521195,0.9595126,0.3031377,0.09493697,1.521906,25,51,13.11639,0.1689982,1,188.5192,3,0.5603459,1,1.032944,0.9827798,0.6237025,1,True,0.9969515,1.8,0.02,1,300,fRad,
2009.75,1,0,0.01523995,0.8984168,0.1462407,0.0618685,0.7521761,0.1706463,0.1322049,1.521906,25,51,13.8067,0.1778925,1,188.3054,3,0.5074804,1,1.032944,0.8670942,0.4052804,1,True,0.9969515,1.8,0.02,1,300,fRad,
2009.83,1,0,0.01523995,0.5882926,0.103224,0.04458656,0.4850686,0.08644359,0.1683043,1.521906,25,51,14.24718,0.1835679,1,188.3931,3,0.4469982,1,1.032944,0.7084536,0.2920721,1,True,0.9969515,1.8,0.02,1,300,fRad,
2009.92,1,0,0,0,0,0.02788965,0,0,0,0,25,51,14.21929,0.1868616,1,188.5732,3,0.4015942,1,0,0.3410037,0.182696,1,False,0.9969515,1.8,0.02,1,300,fTemp,
2010,2,0,0,0,0,0.02467639,0,0,0,0,27,55,6.7763,0.08197439,1,188.5732,3,0.4428906,1,0,0.2561865,0.161647,1,False,0.9966879,1.8,0.02,1,300,fTemp,
2010.08,2,0,0,0,0,0.02898011,0,0,0,0,27,55,6.747318,0.08162379,1,188.5732,3,0.4938775,1,0,0.2861691,0.1747088,1,False,0.9966879,1.8,0.02,1,300,fTemp,
2010.17,2,0,0.01655738,0.9325978,0.1132965,0.0492104,0.8193013,0.1617899,0.1518857,1.653273,27,55,6.773437,0.0803383,1,188.5421,3,0.5785166,1,1.032944,0.7224018,0.2966686,1,True,0.9966879,1.8,0.02,1,300,fRad,
2010.25,2,0,0.01655738,1.36584,0.1745452,0.08087634,1.191295,0.3922429,0.09109383,1.653273,27,55,7.883856,0.09350875,1,186.8781,3,0.6503292,1,1.032944,0.9416036,0.4875692,1,True,0.9966879,1.8,0.02,1,300,fRad,
2010.33,2,0,0.01655738,1.623559,0.2360654,0.1153752,1.387494,0.4542291,0.09161799,1.653273,27,55,9.155973,0.1085971,1,187.7207,3,0.6449406,1,1.032944,0.9923397,0.6955483,1,True,0.9966879,1.8,0.02,1,300,fRad,
2010.42,2,0,0.01655738,1.582684,0.2755474,0.1618033,1.307137,0.5657669,0.06929601,1.653273,27,55,10.30131,0.1221817,1,186.5006,3.1,0.658465,1,1.032944,0.9752572,0.9754432,1,True,0.9966879,1.8,0.02,1,300,fRad,
2010.5,2,0,0.01655738,1.618928,0.28648,0.1633163,1.332448,0.5848427,0.06833386,1.653273,27,55,11.47044,0.1360485,1,187.4188,3.1,0.6632038,1,1.032944,0.9712488,0.9845649,1,True,0.9966879,1.8,0.02,1,300,fRad,
