Time,Age(yr),TopLayer(-),LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),water(mm),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,
2008,1,0,0,0,0,0.03458657,0,0,0,0,25,51,6.836413,0.08984835,1,188.5159,3,0.4471578,1,0,0.3950301,0.2245881,1,False,0.9969518,2.3,0,1,300,fTemp,
2008.08,1,0,0,0,0,0.04597729,0,0,0,0,25,51,6.790437,0.0892441,1,188.5732,3,0.5079429,1,0,0.6783711,0.30121,1,False,0.9969518,2.3,0,1,300,fRad,
2008.17,1,0,0.01523855,1.401697,0.1912728,0.05873843,1.210425,0.219211,0.1656152,1.521767,25,51,7.257329,0.09351568,1,188.5689,3,0.586919,1,1.032944,0.8143162,0.3848117,1,True,0.9969518,2.3,0.02,1,300,fRad,
2008.25,1,0,0.01523855,1.758344,0.2431095,0.07883172,1.515235,0.3151559,0.1442046,1.521767,25,51,8.693732,0.1120247,1,187.6556,3,0.6165917,1,1.032944,0.9267193,0.5164484,1,True,0.9969518,2.3,0.02,1,300,fRad,
2008.33,1,0,0.01523855,2.150071,0.3236065,0.1078198,1.826464,0.5253513,0.1042764,1.521767,25,51,10.41237,0.1341706,1,188.5627,3,0.6545822,1,1.032944,0.9950643,0.7063572,1,True,0.9969518,2.3,0.02,1,300,fRad,
2008.42,1,0,0.01523855,2.057879,0.4254546,0.152642,1.632424,0.6819508,0.07179673,1.521767,25,51,11.89215,0.1532386,1,185.877,3.1,0.677291,1,1.032944,0.9379071,1,1,True,0.9969518,2.3,0.02,1,300,fRad,
2008.5,1,0,0.01523855,2.185116,0.4281755,0.152642,1.75694,0.6337359,0.08315213,1.521767,25,51,13.49645,0.173911,1,186.9113,3.1,0.6663718,1,1.032944,0.9611468,1,1,True,0.9969518,2.3,0.02,1,300,fRad,
2008.58,1,0,0.01523855,2.084912,0.4160886,0.1521702,1.668824,0.546109,0.09165493,1.521767,25,51,15.0131,0.1934542,1,184.3537,3.2,0.6418186,1,1.032944,0.9773157,0.9969092,1,True,0.9969518,2.3,0.02,1,300,fRad,
2008.67,1,0,0.01523855,1.77051,0.3496346,0.1196354,1.420876,0.3473201,0.1227018,1.521767,25,51,16.31434,0.2102215,1,188.2323,3,0.5702754,1,1.032944,0.9995481,0.7837647,1,True,0.9969518,2.3,0.02,1,300,fRad,
2008.75,1,0,0.01523855,1.422372,0.2327866,0.06958035,1.189585,0.2606111,0.1369075,1.521767,25,51,17.43435,0.2246536,1,186.9319,3,0.555416,1,1.032944,0.9052051,0.4558401,1,True,0.9969518,2.3,0.02,1,300,fRad,
2008.83,1,0,0,0,0,0.04591576,0,0,0,0,25,51,17.38844,0.2285296,1,188.0187,3,0.4644818,1,0,0.6747097,0.3008069,1,False,0.9969518,2.3,0.02,1,300,fRad,
2008.92,1,0,0,0,0,0.04403432,0,0,0,0,25,51,17.3444,0.2279508,1,188.5732,3,0.4020073,1,0,0.6352227,0.288481,1,False,0.9969518,2.3,0.02,1,300,fRad,
2009,2,0,0,0,0,0.0336541,0,0,0,0,28,57,6.775674,0.07901438,1,188.5732,3,0.4278183,1,0,0.3582329,0.2204774,1,False,0.996564,2.3,0.02,1,300,fTemp,
2009.08,2,0,0,0,0,0.04587806,0,0,0,0,28,57,6.729797,0.07847939,1,188.5732,3,0.5205824,1,0,0.5743387,0.2665838,1,False,0.996564,2.3,0.02,1,300,fRad,
2009.17,2,0,0.01717701,1.375847,0.1923871,0.05984718,1.18346,0.1755964,0.2021449,1.715048,28,57,7.081638,0.08096857,1,188.5553,3,0.5593079,1,1.032944,0.7339886,0.3477543,1,True,0.996564,2.3,0.02,1,300,fRad,
2009.25,2,0,0.01717701,2.055655,0.2873934,0.09363695,1.768261,0.4311498,0.1230107,1.715048,28,57,8.756261,0.1001155,1,188.5331,3,0.6354393,1,1.032944,0.9520948,0.5440966,1,True,0.996564,2.3,0.02,1,300,fRad,
2009.33,2,0,0.01717701,2.421618,0.3896635,0.1313641,2.031954,0.527145,0.1156135,1.715048,28,57,10.65685,0.1218461,1,188.5223,3,0.6319758,1,1.032944,0.9982532,0.7633181,1,True,0.996564,2.3,0.02,1,300,fRad,
2009.42,2,0,0.01717701,2.416136,0.458798,0.1720962,1.957338,0.6877483,0.08536129,1.715048,28,57,12.44209,0.1422578,1,185.8933,3.1,0.6617383,1,1.032944,0.9694634,1,1,True,0.996564,2.3,0.02,1,300,fRad,
2009.5,2,0,0.01717701,2.459276,0.4787095,0.1720962,1.980567,0.6910046,0.0859673,1.715048,28,57,14.25055,0.162935,1,187.2073,3,0.6560559,1,1.032944,0.9663819,1,1,True,0.996564,2.3,0.02,1,300,fRad,
