Time,Ecoregion,SoilType,NrOfCohorts,MaxLayerStdev,Layers,PAR0,Tmin(C),Tave(C),Tday(C),Tmax(C),Precip(mm/mo),CO2(ppm),O3(cum_ppb_h,RunOff(mm/mo),Leakage(mm),PET(mm),Evaporation(mm),Transpiration(mm),Interception(mm),PrecLoss(mm/mo),water(mm),PressureHead(mm),SnowPack(mm),LAI(m2),VPD(kPa),GrossPsn(gC_m2_mo),NetPsn(gC_m2_mo),MaintenanceRespiration(gC_mo),Wood(gDW),Root(gDW),Fol(gDW),NSC(gC),HeteroResp(gC_mo),Litter(gDW_m2),CWD(gDW_m2),WoodSenescence(gDW_m2),FoliageSenescence(gDW_m2),SubCanopyPAR,FrostDepth(mm),LeakageFrac(-)
2008,SALO1,SALO,1,34,1,242.6503,-0.732581,5.014767,7.888442,10.76212,43.24937,390,-99,0,29.70126,0,0,0,0,12.97481,188.5732,3,0,0,0.48968,0,0,0.03458657,51,25,0,6.836413,0,0,0.808000028133392,0,0,242.6503,1000,1
2008.083,SALO1,SALO,1,34,1,309.6854,2.053985,9.033519,12.52329,16.01305,87.49725,390,-99,0,61.24809,1.380561,1.380561,0,0,26.24918,187.1927,3,0,0,0.7432621,0,0,0.04597729,51,25,0,6.790437,0,0,0.808000028133392,0,0,309.6854,1000,1
2008.167,SALO1,SALO,1,34,1,427.9477,5.319365,12.11977,15.51997,18.92018,94.35492,390,-99,0,64.47064,9.247901,9.02869,0.219211,0,28.30648,179.5227,3,0,0.01523855,0.8712474,1.401697,1.210425,0.05873843,51,25,1.521767,7.257329,0,0,0.808000028133392,0,0,424.182,1000,1
2008.25,SALO1,SALO,1,34,1,484.3776,9.717178,15.9354,19.04451,22.15362,130.224,390,-99,0,81.68378,13.21299,12.89783,0.3151559,0.1982915,39.00772,175.6439,4,0,0.01523855,0.9985156,1.758344,1.515235,0.07883172,51,25,1.521767,8.693732,0,0,0.808000028133392,0,0,480.1154,1000,1
2008.333,SALO1,SALO,1,34,1,570.7784,13.28783,20.06555,23.4544,26.84326,68.88806,390,-99,0,34.79848,19.33031,18.80496,0.5253513,0.1048955,20.63495,169.6633,4,0,0.01523855,1.361226,2.150071,1.826464,0.1078198,51,25,1.521767,10.41237,0,0,0.808000028133392,0,0,565.7559,1000,1
2008.417,SALO1,SALO,1,34,1,632.1385,20.37228,26.77989,29.98369,33.18749,70.42622,390,-99,0,29.69943,23.83004,23.14808,0.6819508,0.1072377,21.09569,165.357,5,0,0.01523855,1.846148,2.057879,1.632424,0.152642,51,25,1.521767,11.89215,0,0,0.808000028133392,0,0,626.5761,1000,1
2008.5,SALO1,SALO,1,34,1,601.5918,20.26148,26.04866,28.94224,31.83583,158.0644,390,-99,0,86.69,21.65995,21.02622,0.6337359,0.2406839,47.34713,167.4837,5,0,0.01523855,1.615724,2.185116,1.75694,0.152642,51,25,1.521767,13.49645,0,0,0.808000028133392,0,0,596.2982,1000,1
2008.583,SALO1,SALO,1,34,1,539.7061,19.89562,25.30672,28.01226,30.71781,167.5434,390,-99,0,95.52068,17.30834,16.76223,0.546109,0.2551176,50.1865,171.7565,4,0,0.01523855,1.459234,2.084912,1.668824,0.1521702,51,25,1.521767,15.0131,0,0,0.808000028133392,0,0,534.9569,1000,1
2008.667,SALO1,SALO,1,34,1,399.7075,17.40167,22.15544,24.53233,26.90921,238.1141,390,-99,0,149.2966,7.486689,7.139369,0.3473201,0.3625751,71.32545,181.3992,3,0,0.01523855,1.092861,1.77051,1.420876,0.1196354,51,25,1.521767,16.31434,0,0,0.808000028133392,0,0,396.1903,1000,1
2008.75,SALO1,SALO,1,34,1,376.281,7.999396,14.81745,18.22647,21.63549,32.76649,390,-99,0,15.49303,5.779623,5.519012,0.2606111,0.04989337,9.814979,183.0282,3,0,0.01523855,1.020735,1.422372,1.189585,0.06958035,51,25,1.521767,17.43435,0,0,0.808000028133392,0,0,372.97,1000,1
