Time,ManagementArea,Prescription,Stand,EventID,StandAge,StandRank,NumberOfSites,HarvestedSites,MgBiomassRemoved,MgBioRemovedPerDamagedHa,TotalCohortsPartialHarvest,TotalCohortsCompleteHarvest,CohortsHarvested_LobPine,CohortsHarvested_LongleafPine,CohortsHarvested_ShortPine,CohortsHarvested_SlashPine,CohortsHarvested_WhiteOak,CohortsHarvested_TurkeyOak,CohortsHarvested_SweetGum,CohortsHarvested_RedMaple,CohortsHarvested_TulipTree,BiomassHarvestedMg_LobPine,BiomassHarvestedMg_LongleafPine,BiomassHarvestedMg_ShortPine,BiomassHarvestedMg_SlashPine,BiomassHarvestedMg_WhiteOak,BiomassHarvestedMg_TurkeyOak,BiomassHarvestedMg_SweetGum,BiomassHarvestedMg_RedMaple,BiomassHarvestedMg_TulipTree,
1, 1, Thinnning_Pines, 71, 26, 82, 887, 19, 13, 499.46, 38.42, 91, 6, 0, 91, 0, 0, 0, 6, 0, 0, 0, 0, 496.55, 0, 0, 0, 2.91, 0, 0, 0, 
1, 1, Clearcut_Slash, 77, 17, 120, 2700, 22, 22, 4582.67, 208.3, 0, 198, 110, 0, 0, 66, 0, 0, 0, 22, 0, 454.43, 0, 0, 4103.73, 0, 0, 0, 24.51, 0, 
1, 1, Clearcut_Slash, 93, 12, 120, 2700, 20, 20, 4168.21, 208.41, 0, 180, 100, 0, 0, 60, 0, 0, 0, 20, 0, 414.53, 0, 0, 3731.13, 0, 0, 0, 22.55, 0, 
1, 1, Clearcut_Slash, 104, 9, 97, 2706, 48, 39, 8203.39, 210.34, 0, 372, 156, 15, 0, 170, 0, 0, 0, 31, 0, 906.21, 328.19, 0, 6934.11, 0, 0, 0, 34.88, 0, 
1, 1, Thinnning_Pines, 107, 31, 92, 864, 28, 24, 1615.83, 67.33, 144, 1, 26, 118, 0, 0, 0, 1, 0, 0, 0, 272.18, 1342.87, 0, 0, 0, 0.78, 0, 0, 0, 
1, 1, Clearcut_Slash, 122, 15, 120, 2700, 7, 7, 1416.8, 202.4, 0, 63, 35, 0, 0, 21, 0, 0, 0, 7, 0, 141.11, 0, 0, 1267.74, 0, 0, 0, 7.95, 0, 
1, 1, Clearcut_Slash, 1276, 3, 98, 3840, 10, 9, 1874.97, 208.33, 0, 92, 16, 11, 0, 61, 0, 0, 2, 2, 0, 230.13, 267.8, 0, 1373.54, 0, 0, 1.25, 2.25, 0, 
1, 1, Clearcut_Slash, 686, 4, 75, 2954, 26, 25, 3919.4, 156.78, 0, 204, 31, 27, 0, 122, 4, 0, 0, 20, 0, 298.07, 88.54, 0, 2668.12, 327.6, 0, 0, 537.07, 0, 
1, 1, Thinnning_Pines, 685, 13, 96, 989, 33, 33, 2132.24, 64.61, 191, 0, 0, 191, 0, 0, 0, 0, 0, 0, 0, 0, 2132.24, 0, 0, 0, 0, 0, 0, 0, 
1, 1, Thinnning_Pines, 403, 7, 97, 1138, 32, 28, 655.79, 23.42, 180, 8, 13, 167, 0, 6, 0, 0, 0, 2, 0, 77.71, 215.74, 0, 360.06, 0, 0, 0, 2.28, 0, 
